epoch,train_loss,val_loss,train_acc,val_acc,train_roc,val_roc,train_precision,val_precision
1,0.56927,0.542089,0.699705,0.723379,0.772077,0.801811,0.689039,0.738113
2,0.521677,0.516533,0.7411,0.741577,0.817777,0.822825,0.725809,0.747463
3,0.502192,0.490463,0.755315,0.765184,0.833937,0.843932,0.739839,0.752099
4,0.489303,0.482514,0.764936,0.769811,0.844053,0.850217,0.749729,0.747749
5,0.481887,0.48035,0.769877,0.771049,0.849864,0.850109,0.753959,0.763669
6,0.475015,0.470631,0.776023,0.779374,0.85494,0.860027,0.760444,0.77701
7,0.468876,0.474061,0.779514,0.777322,0.859492,0.858018,0.7634,0.74918
8,0.465242,0.461184,0.782874,0.786771,0.862057,0.865935,0.767146,0.7606
9,0.460689,0.458026,0.785782,0.791088,0.865023,0.869557,0.769243,0.763642
10,0.456481,0.456727,0.789469,0.790632,0.868087,0.868668,0.773086,0.771547
11,0.45155,0.452835,0.793868,0.789818,0.871313,0.869983,0.777847,0.792823
12,0.448166,0.439598,0.795163,0.80132,0.873458,0.879063,0.778266,0.792393
13,0.440622,0.439026,0.800446,0.800635,0.878302,0.878871,0.784806,0.77867
14,0.436954,0.432973,0.802979,0.805588,0.8805,0.882796,0.786973,0.78173
15,0.433842,0.433553,0.804608,0.802493,0.882253,0.885832,0.78765,0.818944
16,0.430654,0.426321,0.806478,0.808928,0.884247,0.887728,0.790074,0.786349
17,0.427736,0.430374,0.808616,0.80624,0.885921,0.888197,0.791915,0.767863
18,0.425473,0.420416,0.809602,0.812089,0.887307,0.889938,0.793114,0.796514
19,0.422134,0.427625,0.811822,0.807462,0.889331,0.886501,0.794895,0.788245
20,0.417054,0.41159,0.815805,0.81854,0.89209,0.896371,0.798378,0.807305
21,0.415695,0.416329,0.815781,0.815966,0.892977,0.892757,0.798479,0.794652
22,0.413829,0.412632,0.817789,0.817856,0.893978,0.895163,0.799995,0.798702
23,0.413698,0.407462,0.817296,0.822467,0.893868,0.897997,0.799316,0.812814
24,0.407644,0.415344,0.822253,0.813669,0.897542,0.892956,0.804664,0.818389
25,0.405937,0.405692,0.822245,0.824128,0.898044,0.899488,0.804586,0.80743
26,0.403956,0.405754,0.823076,0.822776,0.899341,0.899238,0.805268,0.788603
27,0.399367,0.382283,0.827043,0.838807,0.901838,0.911634,0.809345,0.823764
28,0.385071,0.376686,0.834375,0.838807,0.909496,0.915318,0.818607,0.84538
29,0.381938,0.365521,0.835169,0.845178,0.910726,0.919561,0.819878,0.828064
30,0.374264,0.367458,0.84026,0.845585,0.914484,0.917937,0.824445,0.830941
31,0.372965,0.363495,0.840411,0.847019,0.914873,0.920373,0.824954,0.837581
32,0.364674,0.349208,0.844488,0.852867,0.91919,0.928587,0.829916,0.861212
33,0.353858,0.337247,0.850068,0.860264,0.924409,0.933128,0.836768,0.861737
34,0.348555,0.337037,0.853323,0.860964,0.926705,0.933175,0.840371,0.861932
35,0.341156,0.322899,0.857649,0.867058,0.929876,0.938789,0.844349,0.849584
36,0.339177,0.32359,0.858895,0.867318,0.930691,0.938288,0.844603,0.847075
37,0.336622,0.320438,0.859253,0.86973,0.931748,0.939601,0.845255,0.860314
38,0.333607,0.314732,0.861066,0.871049,0.932973,0.940944,0.846685,0.850914
39,0.327758,0.321366,0.864072,0.866846,0.935222,0.939853,0.848541,0.833773
40,0.327352,0.311982,0.864418,0.874438,0.935304,0.942845,0.848489,0.862017
41,0.32305,0.304983,0.866947,0.87724,0.93719,0.945192,0.851552,0.858026
42,0.321461,0.305693,0.867094,0.874992,0.937751,0.943779,0.851588,0.861187
43,0.319372,0.308178,0.868084,0.876621,0.938573,0.943933,0.852461,0.866019
44,0.31599,0.299557,0.869876,0.879342,0.93991,0.947799,0.853725,0.878947
45,0.314552,0.296524,0.870422,0.880499,0.940275,0.94884,0.853767,0.87962
46,0.311405,0.296164,0.87245,0.879619,0.941601,0.947668,0.855053,0.866795
47,0.308911,0.306174,0.873688,0.873574,0.942519,0.946772,0.85789,0.893337
48,0.30907,0.295857,0.874043,0.882014,0.94223,0.949969,0.857295,0.891871
49,0.307776,0.292754,0.8741,0.88379,0.942863,0.950177,0.857066,0.887158
50,0.301766,0.286254,0.877623,0.884246,0.945145,0.952525,0.860191,0.853694
51,0.304709,0.29001,0.875982,0.884848,0.943899,0.950952,0.859438,0.861812
52,0.301151,0.286579,0.877843,0.887325,0.945345,0.951971,0.861108,0.868864
53,0.301104,0.285666,0.877277,0.88449,0.945251,0.95273,0.859931,0.885571
54,0.300196,0.287296,0.877692,0.884099,0.945516,0.952022,0.86077,0.85359
55,0.298283,0.275397,0.879122,0.891251,0.946251,0.95607,0.861407,0.891851
